Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",58705467,-,2660688,-,"149,769,296"
40118011,"New rubber pneumatic tyres with herring-bone""",13092598,-,456683,-,"32,583,623"
40118012,"New rubber pneumatic tyres with herring-bone""",27576554,-,103793,-,"73,854,374"
1012100,Live pure-bred breeding horses,1050,-,3,-,"1,522"
1012900,"Live horses, not pure-bred breeding",14160,-,38,-,"59,147"
1029090,"Other live bovine animals, not pure-bred breeding",11788334,-,19229,-,"61,811,165"
1031000,Live pure-bred breeding swine,47855,-,722,-,"282,440"
1039120,"Live swine 10kg¡Üwt.£¼50kg, not pure-bred breeding",814716,-,16937,-,"3,988,652"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",169488468,-,1549471,-,"446,160,944"
1042090,"Live goats, not pure-bred breeding",102370,-,3471,-,"872,685"
1051110,Live chicken¡Ü185g for pure-bred breeding,1103,-,31500,-,"18,102"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",87288,-,1992900,-,"692,574"
1059490,"Live chicken>185g, not pure-bred breeding",549885,-,272947,-,"1,523,479"
1061110,"Primates, for pure-bred breeding",13,-,1,-,"22,176"
1061190,"Primates, not pure-bred breeding",79494,-,18431,-,"33,373,242"
1061221,"Seals,sea lions&walruses, for pure-bred breeding",1307,-,7,-,"140,000"
1061490,"Rabbits&hares, not for pure-bred breeding",25451,-,8628,-,"340,923"
1061910,"Other mammals, for pure-bred breeding",457,-,4,-,"400,000"
1061990,"Other edible mammals, not pure-bred breeding",39830,-,29113,-,"3,065,252"
1062019,"Other reptiles, for pure-bred breeding",4104,-,33340,-,"46,518"
1062020,Edible reptiles,614844,-,416361,-,"6,882,239"
1062090,"Reptiles, nes",21662,-,1445899,-,"950,580"
1063910,"Other birds, for pure-bred breeding",262,-,521,-,"5,210"
1063921,"Squabs, edible",61712,-,99845,-,"296,021"
1063929,"Other birds, edible",14350,-,18100,-,"21,403"
1064190,"Bees, not for pure-bred breeding",18000,-,30000000,-,"17,418"
1064990,"Other insects, not for pure-bred breeding",29480,-,9746000,-,"35,680"
1069011,"Tadpole and young frogs, for pure-bred breeding",18,-,1000,-,500
1069019,"Other live animals, for pure-bred breeding",159,-,10,-,"59,016"
1069090,"Other live animals, not for pure-bred breeding",124172,-,27097198,-,"474,094"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),3695,-,0,-,"64,732"
2022000,Frozen unboned bovine meat (excl. carcasses),39244,-,0,-,"272,835"
2023000,Frozen boneless bovine meat,878931,-,0,-,"7,559,922"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",2945040,-,0,-,"13,730,146"
2031900,Other fresh or chilled swine meat,4784575,-,0,-,"21,279,207"
2032110,Frozen carcasses&half carcasses of sucking pig,475940,-,0,-,"5,726,150"
2032190,"Frozen swine carcasses&half carcasses, nes",24800,-,0,-,"108,623"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",29664,-,0,-,"55,630"
2032900,Other frozen swine meat,43028509,-,0,-,"217,673,305"
2042200,Fresh or chilled unboned meat of sheep,1929,-,0,-,"16,500"
2042300,Fresh or chilled boneless meat of sheep,3362,-,0,-,"6,944"
2044200,Frozen unboned meat of sheep,701445,-,0,-,"6,251,400"
2044300,Frozen boneless meat of sheep,981214,-,0,-,"7,482,954"
2045000,"Fresh, chilled or frozen goat meat",3470424,-,0,-,"31,794,391"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",8128,-,0,-,"146,711"
2062200,Frozen bovine livers,36626,-,0,-,"22,894"
2062900,Frozen edible bovine offal (excl. tongues&livers),64945,-,0,-,"90,242"
2064100,Frozen swine livers,4000,-,0,-,"17,931"
2064900,Frozen edible swine offal (excl. livers),51011,-,0,-,"76,379"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",52410,-,0,-,"164,321"
2071100,Fresh or chilled whole chickens,65134538,-,0,-,"202,890,427"
2071200,Frozen whole chickens,2802447,-,0,-,"8,144,378"
2071311,"Fresh or chilled cuts of chicken, with bone",581804,-,0,-,"1,853,450"
2071329,"Fresh or chilled offal of chicken, nes",128441,-,0,-,"374,493"
2071411,"Frozen chicken cuts, with bone",19031935,-,0,-,"31,607,252"
2071419,"Frozen chicken cuts, nes",103717584,-,0,-,"192,510,180"
2071421,Frozen midjoint wing of chicken,1601102,-,0,-,"8,260,068"
2071429,"Frozen offal of chicken, nes",1520683,-,0,-,"829,038"
2072500,Frozen whole turkeys,1287,-,0,-,"2,015"
2072700,Frozen cuts&offal of turkeys,2268,-,0,-,"2,221"
2074100,Fresh or chilled whole ducks,21642773,-,0,-,"46,629,108"
2074200,Frozen whole ducks,3061875,-,0,-,"6,394,505"
2074400,Fresh or chilled cuts&offal of ducks,14797,-,0,-,"47,403"
2074500,Frozen cuts&offal of ducks,9856775,-,0,-,"13,222,456"
2075100,Fresh or chilled whole geese,11348447,-,0,-,"44,348,035"
2075200,Frozen whole geese,40578,-,0,-,"190,389"
2075300,Fresh or chilled fatty goose livers,95,-,0,-,"6,819"
2075400,Fresh or chilled cuts&offal of geese,320,-,0,-,"1,409"
2075500,Frozen cuts&offal of geese,360,-,0,-,"1,756"
2081020,"Frozen meat of rabbits, excl. head",7042335,-,0,-,"29,516,042"
2089010,"Fresh, chilled or frozen meat&edible offal of squabs",4208103,-,0,-,"12,467,503"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",68960,-,0,-,"660,994"
2091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",311000,-,0,-,"352,669"
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",28500,-,0,-,"180,452"
2101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",828,-,0,-,"10,011"
2101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",61013,-,0,-,"342,932"
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",194508,-,0,-,"1,989,361"
2102000,"Meat of bovine animals, salted,in brine,dried or smoked",1026,-,0,-,"12,999"
