Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",53546632,Kilogram,1884167,Number of item,"144,930,545"
40118011,"New rubber pneumatic tyres with herring-bone""",10829842,Kilogram,382667,Number of item,"28,637,071"
40118012,"New rubber pneumatic tyres with herring-bone""",24838108,Kilogram,91683,Number of item,"72,643,772"
1012900,"Live horses, not pure-bred breeding",2668,Kilogram,6,Number of item,"230,000"
1013090,"Live asses, not pure-bred breeding",8670,Kilogram,51,Number of item,"72,000"
1029090,"Other live bovine animals, not pure-bred breeding",11470270,Kilogram,18844,Number of item,"60,478,799"
1031000,Live pure-bred breeding swine,59949,Kilogram,906,Number of item,"305,610"
1039120,"Live swine 10kg¡Üwt.£¼50kg, not pure-bred breeding",563748,Kilogram,11669,Number of item,"2,600,022"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",174532737,Kilogram,1567873,Number of item,"424,696,348"
1042090,"Live goats, not pure-bred breeding",106925,Kilogram,3519,Number of item,"809,209"
1051110,Live chicken¡Ü185g for pure-bred breeding,420,Kilogram,12000,Number of item,"8,518"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",107596,Kilogram,2392291,Number of item,"960,779"
1061190,"Primates, not pure-bred breeding",76351,Kilogram,22654,Number of item,"41,218,769"
1061490,"Rabbits&hares, not for pure-bred breeding",30408,Kilogram,10919,Number of item,"677,084"
1061910,"Other mammals, for pure-bred breeding",1345,Kilogram,35,Number of item,"286,281"
1061990,"Other edible mammals, not pure-bred breeding",39541,Kilogram,37189,Number of item,"3,228,185"
1062019,"Other reptiles, for pure-bred breeding",1565,Kilogram,16500,Number of item,"17,313"
1062020,Edible reptiles,614132,Kilogram,407165,Number of item,"6,556,721"
1062090,"Reptiles, nes",27086,Kilogram,1728638,Number of item,"1,356,057"
1063910,"Other birds, for pure-bred breeding",403,Kilogram,804,Number of item,"8,040"
1063990,"Birds, nes",23,Kilogram,414,Number of item,"33,193"
1064990,"Other insects, not for pure-bred breeding",21517,Kilogram,11887045,Number of item,"57,557"
1069011,"Tadpole and young frogs, for pure-bred breeding",21,Kilogram,1600,Number of item,280
1069019,"Other live animals, for pure-bred breeding",30,Kilogram,2,Number of item,"11,535"
1069090,"Other live animals, not for pure-bred breeding",109806,Kilogram,20589300,Number of item,"473,386"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),4402,Kilogram,0,?,"43,846"
2022000,Frozen unboned bovine meat (excl. carcasses),5000,Kilogram,0,?,"38,378"
2023000,Frozen boneless bovine meat,424262,Kilogram,0,?,"3,116,198"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",2540600,Kilogram,0,?,"11,073,589"
2031900,Other fresh or chilled swine meat,4446810,Kilogram,0,?,"17,927,091"
2032110,Frozen carcasses&half carcasses of sucking pig,760759,Kilogram,0,?,"8,448,376"
2032190,"Frozen swine carcasses&half carcasses, nes",630390,Kilogram,0,?,"2,931,247"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",1229,Kilogram,0,?,"21,566"
2032900,Other frozen swine meat,33381764,Kilogram,0,?,"154,902,984"
2042200,Fresh or chilled unboned meat of sheep,607,Kilogram,0,?,"6,942"
2042300,Fresh or chilled boneless meat of sheep,387,Kilogram,0,?,"2,676"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),141,Kilogram,0,?,"1,170"
2044200,Frozen unboned meat of sheep,691134,Kilogram,0,?,"7,590,523"
2044300,Frozen boneless meat of sheep,658012,Kilogram,0,?,"6,230,626"
2045000,"Fresh, chilled or frozen goat meat",1944087,Kilogram,0,?,"19,649,297"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",75062,Kilogram,0,?,"1,154,697"
2062200,Frozen bovine livers,11537,Kilogram,0,?,"7,060"
2062900,Frozen edible bovine offal (excl. tongues&livers),78514,Kilogram,0,?,"75,431"
2064100,Frozen swine livers,25000,Kilogram,0,?,"112,658"
2064900,Frozen edible swine offal (excl. livers),1000,Kilogram,0,?,"1,020"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",4009,Kilogram,0,?,"77,496"
2071100,Fresh or chilled whole chickens,66686440,Kilogram,0,?,"219,878,455"
2071200,Frozen whole chickens,3500636,Kilogram,0,?,"11,328,296"
2071311,"Fresh or chilled cuts of chicken, with bone",1512842,Kilogram,0,?,"5,910,584"
2071329,"Fresh or chilled offal of chicken, nes",207283,Kilogram,0,?,"718,780"
2071411,"Frozen chicken cuts, with bone",20216751,Kilogram,0,?,"37,679,575"
2071419,"Frozen chicken cuts, nes",82951170,Kilogram,0,?,"180,804,875"
2071421,Frozen midjoint wing of chicken,1305507,Kilogram,0,?,"6,864,780"
2071422,Frozen chicken claw,82890,Kilogram,0,?,"121,635"
2071429,"Frozen offal of chicken, nes",1028255,Kilogram,0,?,"1,396,019"
2072500,Frozen whole turkeys,2842,Kilogram,0,?,"4,424"
2072700,Frozen cuts&offal of turkeys,4042,Kilogram,0,?,"13,627"
2074100,Fresh or chilled whole ducks,21163329,Kilogram,0,?,"47,756,914"
2074200,Frozen whole ducks,3653519,Kilogram,0,?,"7,851,395"
2074400,Fresh or chilled cuts&offal of ducks,109998,Kilogram,0,?,"246,714"
2074500,Frozen cuts&offal of ducks,6894041,Kilogram,0,?,"9,411,416"
2075100,Fresh or chilled whole geese,11676256,Kilogram,0,?,"49,597,639"
2075200,Frozen whole geese,33193,Kilogram,0,?,"170,752"
2075300,Fresh or chilled fatty goose livers,40,Kilogram,0,?,"3,521"
2075400,Fresh or chilled cuts&offal of geese,35577,Kilogram,0,?,"62,974"
2075500,Frozen cuts&offal of geese,3230,Kilogram,0,?,"13,836"
2081020,"Frozen meat of rabbits, excl. head",5964033,Kilogram,0,?,"28,607,931"
2089010,"Fresh, chilled or frozen meat&edible offal of squabs",4853491,Kilogram,0,?,"19,632,482"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",42111,Kilogram,0,?,"391,265"
2091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",510000,Kilogram,0,?,"472,700"
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",28500,Kilogram,0,?,"179,883"
2101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",395,Kilogram,0,?,"5,890"
2101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",64114,Kilogram,0,?,"392,587"
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",199883,Kilogram,0,?,"1,622,164"
2102000,"Meat of bovine animals, salted,in brine,dried or smoked",390,Kilogram,0,?,"4,100"
2109900,"Other meat/edible offal, nes, saltd/brn/drd/smkd; flours&meals",295781,Kilogram,0,?,"1,468,183"
3011100,Live ornamental freshwater fish,450646,Kilogram,0,?,"4,002,914"
3011900,Other live ornamental fish,264,Kilogram,0,?,"36,000"
3019210,Live eels fry,2,Kilogram,0,?,"11,669"
3019290,"Live eels, excl. fry",8712480,Kilogram,0,?,"241,383,458"
3019310,Live Carp fry,134,Kilogram,0,?,778
3019390,"Live Carp, excl. fry",32100792,Kilogram,0,?,"108,969,256"
3019911,Live perch fry,135320,Kilogram,0,?,"1,931,139"
3019912,Live sturgeon fry,1,Kilogram,0,?,"7,572"
3019919,Other live fry,3187399,Kilogram,0,?,"38,956,546"
3019991,Live tilapia,1104553,Kilogram,0,?,"2,893,257"
3019992,live puffer fish(fugu spp.),245950,Kilogram,0,?,"3,925,756"
3019993,Other live carps,10868567,Kilogram,0,?,"37,415,657"
3019999,"Live fish nes, excl. Fry",32085699,Kilogram,0,?,"204,645,205"
3022300,Fresh or chilled sole,229081,Kilogram,0,?,"1,151,380"
3022900,Other fresh or chilled flat fish,2910,Kilogram,0,?,"58,140"
3024900,"Fresh or chilled indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish",151126,Kilogram,0,?,"1,377,223"
3025100,Fresh or chilled cod,756964,Kilogram,0,?,"1,899,199"
3027300,Fresh or chilled carp,114445,Kilogram,0,?,"304,704"
3027400,Fresh or chilled eels,304709,Kilogram,0,?,"1,932,525"
3028200,Fresh or chilled rays and skates,318300,Kilogram,0,?,"1,996,385"
3028910,Fresh or chilled scabber fish,68280,Kilogram,0,?,"419,749"
3028920,Fresh or chilled yellow croaker,5906798,Kilogram,0,?,"36,697,168"
3028930,Fresh or chilled butterfish,960657,Kilogram,0,?,"5,879,233"
3028940,Fresh or chilled puffer fish,49393,Kilogram,0,?,"424,998"
3028990,"Fresh or chilled fish, nes",10437780,Kilogram,0,?,"51,759,048"
3029100,"Fresh or chilled livers, roes and milt",1186799,Kilogram,0,?,"30,515,338"
3029900,Other fresh or chilled edible fish offal,192005,Kilogram,0,?,"7,612,289"
