Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",71198400,Kilogram,1580625,Number of item,"183,550,061"
40118011,"New rubber pneumatic tyres with herring-bone""",15895872,Kilogram,497864,Number of item,"42,248,364"
40118012,"New rubber pneumatic tyres with herring-bone""",28972790,Kilogram,112382,Number of item,"78,487,658"
1012100,Live pure-bred breeding horses,2850,Kilogram,10,Number of item,"8,000"
1029090,"Other live bovine animals, not pure-bred breeding",9606847,Kilogram,15124,Number of item,"58,502,705"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",99686072,Kilogram,880828,Number of item,"476,367,137"
1041090,"Live sheep, not pure-bred breeding",3400,Kilogram,170,Number of item,"7,882"
1042090,"Live goats, not pure-bred breeding",57065,Kilogram,1813,Number of item,"449,399"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",167485,Kilogram,3439880,Number of item,"2,002,666"
1059490,"Live chicken£¾185g, not pure-bred breeding",700123,Kilogram,318370,Number of item,"1,603,930"
1059991,"Live ducks£¾185g, not pure-bred breeding",11100,Kilogram,3000,Number of item,"18,876"
1061490,"Rabbits&hares, not for pure-bred breeding",19763,Kilogram,7818,Number of item,"823,391"
1061910,"Other mammals, for pure-bred breeding",4660,Kilogram,466,Number of item,"634,050"
1061990,"Other edible mammals, not pure-bred breeding",108757,Kilogram,114777,Number of item,"11,045,864"
1062020,Edible reptiles,618537,Kilogram,466787,Number of item,"6,852,780"
1062090,"Reptiles, nes",25548,Kilogram,2394915,Number of item,"1,544,286"
1064910,"Other insects, for pure-bred breeding",26,Kilogram,33600,Number of item,684
1064990,"Other insects, not for pure-bred breeding",22506,Kilogram,33561280,Number of item,"46,001"
1069090,"Other live animals, not for pure-bred breeding",315512,Kilogram,4023762,Number of item,"964,516"
2023000,Frozen boneless bovine meat,13792,Kilogram,0,?,"147,860"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",3131336,Kilogram,0,?,"14,411,044"
2031900,Other fresh or chilled swine meat,4456126,Kilogram,0,?,"24,821,671"
2032110,Frozen carcasses&half carcasses of sucking pig,97505,Kilogram,0,?,"556,010"
2032190,"Frozen swine carcasses&half carcasses, nes",1159686,Kilogram,0,?,"5,951,478"
2032900,Other frozen swine meat,8979160,Kilogram,0,?,"74,623,250"
2042100,Fresh or chilled sheep carcasses&half carcasses (excl. lamb),2662,Kilogram,0,?,"31,510"
2044200,Frozen unboned meat of sheep,801335,Kilogram,0,?,"10,143,501"
2044300,Frozen boneless meat of sheep,603442,Kilogram,0,?,"7,339,740"
2045000,"Fresh, chilled or frozen goat meat",581753,Kilogram,0,?,"7,366,249"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",106093,Kilogram,0,?,"1,897,201"
2062900,Frozen edible bovine offal (excl. tongues&livers),97900,Kilogram,0,?,"162,418"
2064100,Frozen swine livers,55080,Kilogram,0,?,"41,310"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",64714,Kilogram,0,?,"311,224"
2071100,Fresh or chilled whole chickens,76916793,Kilogram,0,?,"283,198,815"
2071200,Frozen whole chickens,2628810,Kilogram,0,?,"8,325,779"
2071311,"Fresh or chilled cuts of chicken, with bone",1773516,Kilogram,0,?,"7,212,267"
2071319,Fresh or chilled boneless cuts of chicken,135158,Kilogram,0,?,"544,631"
2071321,Fresh or chilled midjoint wing of chicken,17263,Kilogram,0,?,"70,620"
2071329,"Fresh or chilled offal of chicken, nes",219882,Kilogram,0,?,"782,505"
2071411,"Frozen chicken cuts, with bone",22008696,Kilogram,0,?,"46,939,899"
2071419,"Frozen chicken cuts, nes",78742965,Kilogram,0,?,"163,717,618"
2071421,Frozen midjoint wing of chicken,2415033,Kilogram,0,?,"9,586,950"
2071422,Frozen chicken claw,34500,Kilogram,0,?,"45,930"
2071429,"Frozen offal of chicken, nes",1981625,Kilogram,0,?,"2,584,210"
2074100,Fresh or chilled whole ducks,19955597,Kilogram,0,?,"50,217,589"
2074200,Frozen whole ducks,9127439,Kilogram,0,?,"17,523,931"
2074300,Fresh or chilled fatty duck livers,216000,Kilogram,0,?,"116,578"
2074400,Fresh or chilled cuts&offal of ducks,192079,Kilogram,0,?,"463,441"
2074500,Frozen cuts&offal of ducks,3461478,Kilogram,0,?,"7,446,760"
2075100,Fresh or chilled whole geese,13580346,Kilogram,0,?,"73,306,805"
2075200,Frozen whole geese,17876,Kilogram,0,?,"97,127"
2075400,Fresh or chilled cuts&offal of geese,313499,Kilogram,0,?,"1,493,698"
2075500,Frozen cuts&offal of geese,210,Kilogram,0,?,"1,486"
2081020,"Frozen meat of rabbits, excl. head",4026665,Kilogram,0,?,"17,491,891"
2089010,"Fresh, chilled or frozen meat&edible offal of squabs",4353794,Kilogram,0,?,"26,140,662"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",64041,Kilogram,0,?,"643,533"
2099000,"Poultry fat, not extracted, fresh, chilled, frozen,dried or salted",3,Kilogram,0,?,3
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",24130,Kilogram,0,?,"329,993"
2101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",538,Kilogram,0,?,"13,786"
2101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",70207,Kilogram,0,?,"615,939"
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",216829,Kilogram,0,?,"2,534,040"
2102000,"Meat of bovine animals, salted,in brine,dried or smoked",5038,Kilogram,0,?,"139,784"
2109900,"Other meat/edible offal, nes, saltd/brn/drd/smkd; flours&meals",689561,Kilogram,0,?,"2,962,183"
