Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",690854,Kilogram,4371,Number of item,"2,285,164"
40118011,"New rubber pneumatic tyres with herring-bone""",681872,Kilogram,15713,Number of item,"2,838,476"
40118012,"New rubber pneumatic tyres with herring-bone""",1891774,Kilogram,15559,Number of item,"7,278,609"
1012100,Live pure-bred breeding horses,23305,Kilogram,67,Number of item,"77,600"
1012900,"Live horses, not pure-bred breeding",144615,Kilogram,567,Number of item,"8,081,544"
1013090,"Live asses, not pure-bred breeding",113580,Kilogram,1000,Number of item,"121,480"
1022100,Live pure-bred breeding cattles,25734205,Kilogram,91590,Number of item,"187,693,259"
1022900,"Live cattles, not pure-bred breeding",52543174,Kilogram,174493,Number of item,"299,356,789"
1031000,Live pure-bred breeding swine,1482791,Kilogram,29042,Number of item,"66,515,789"
1041010,Live pure-bred breeding sheep,8455,Kilogram,291,Number of item,"392,983"
1041090,"Live sheep, not pure-bred breeding",1337355,Kilogram,30126,Number of item,"2,963,798"
1042010,Live pure-bred breeding goats,246737,Kilogram,9166,Number of item,"12,862,940"
1042090,"Live goats, not pure-bred breeding",11858,Kilogram,437,Number of item,"564,970"
1051110,Live chicken¡Ü185g for pure-bred breeding,67814,Kilogram,1495328,Number of item,"35,720,694"
1061110,"Primates, for pure-bred breeding",827,Kilogram,147,Number of item,"1,077,536"
1061190,"Primates, not pure-bred breeding",278,Kilogram,161,Number of item,"202,607"
1061211,"Whales,dolphins,propoises,manatees&dugongs,for pure-bred breeding",581,Kilogram,4,Number of item,"341,363"
1061221,"Seals,sea lions&walruses, for pure-bred breeding",270,Kilogram,6,Number of item,"754,573"
1061390,"Camels&other camelids, not for pure-bred breeding",9250,Kilogram,270,Number of item,"514,539"
1061410,"Rabbits&hares, for pure-bred breeding",4250,Kilogram,1568,Number of item,"514,901"
1061490,"Rabbits&hares, not for pure-bred breeding",80,Kilogram,40,Number of item,"24,001"
1061910,"Other mammals, for pure-bred breeding",47495,Kilogram,10525,Number of item,"3,628,909"
1061990,"Other edible mammals, not pure-bred breeding",6618,Kilogram,20741,Number of item,"6,828,698"
1062020,Edible reptiles,156748,Kilogram,88173,Number of item,"458,466"
1062090,"Reptiles, nes",26818,Kilogram,42154,Number of item,"334,617"
1063910,"Other birds, for pure-bred breeding",1991,Kilogram,274,Number of item,"2,573,278"
1063990,"Birds, nes",1283,Kilogram,2184,Number of item,"3,022,860"
1064910,"Other insects, for pure-bred breeding",1,Kilogram,25813,Number of item,"2,716"
1064990,"Other insects, not for pure-bred breeding",42,Kilogram,58498,Number of item,"46,579"
1069090,"Other live animals, not for pure-bred breeding",8,Kilogram,3063,Number of item,"14,418"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),876062,Kilogram,0,?,"12,129,112"
2013000,Fresh or chilled boneless bovine meat,47860671,Kilogram,0,?,"395,520,519"
2021000,Frozen bovine carcasses&half carcasses,977630,Kilogram,0,?,"2,541,678"
2022000,Frozen unboned bovine meat (excl. carcasses),295104574,Kilogram,0,?,"764,977,423"
2023000,Frozen boneless bovine meat,1773183703,Kilogram,0,?,"9,003,219,662"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",306751,Kilogram,0,?,"1,124,608"
2031900,Other fresh or chilled swine meat,4607533,Kilogram,0,?,"17,264,087"
2032110,Frozen carcasses&half carcasses of sucking pig,2909,Kilogram,0,?,"38,816"
2032190,"Frozen swine carcasses&half carcasses, nes",3673416,Kilogram,0,?,"8,993,292"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",1054715659,Kilogram,0,?,"2,473,633,465"
2032900,Other frozen swine meat,3238489878,Kilogram,0,?,"9,377,326,231"
2041000,Fresh or chilled lamb carcasses&half carcasses,83703,Kilogram,0,?,"551,934"
2042100,Fresh or chilled sheep carcasses&half carcasses (excl. lamb),59301,Kilogram,0,?,"311,639"
2042200,Fresh or chilled unboned meat of sheep,302129,Kilogram,0,?,"2,472,408"
2042300,Fresh or chilled boneless meat of sheep,87668,Kilogram,0,?,"850,985"
2043000,Frozen lamb carcasses&half carcasses,9554026,Kilogram,0,?,"51,142,110"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),22946775,Kilogram,0,?,"110,430,349"
2044200,Frozen unboned meat of sheep,305791979,Kilogram,0,?,"1,465,612,781"
2044300,Frozen boneless meat of sheep,25812000,Kilogram,0,?,"110,907,329"
2045000,"Fresh, chilled or frozen goat meat",230623,Kilogram,0,?,"1,484,731"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",18856493,Kilogram,0,?,"35,593,078"
2061000,Fresh or chilled edible bovine offal,551,Kilogram,0,?,"7,285"
2062100,Frozen bovine tongues,86972,Kilogram,0,?,"1,146,396"
2062200,Frozen bovine livers,56105,Kilogram,0,?,"47,808"
2062900,Frozen edible bovine offal (excl. tongues&livers),22513554,Kilogram,0,?,"93,308,466"
2064100,Frozen swine livers,20240085,Kilogram,0,?,"20,223,063"
2064900,Frozen edible swine offal (excl. livers),1246657301,Kilogram,0,?,"2,623,460,964"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",5154202,Kilogram,0,?,"25,268,939"
2071200,Frozen whole chickens,13062134,Kilogram,0,?,"18,082,663"
2071311,"Fresh or chilled cuts of chicken, with bone",5640,Kilogram,0,?,"10,117"
2071411,"Frozen chicken cuts, with bone",447725485,Kilogram,0,?,"504,072,989"
2071419,"Frozen chicken cuts, nes",33775890,Kilogram,0,?,"66,892,317"
2071421,Frozen midjoint wing of chicken,409775777,Kilogram,0,?,"1,331,438,248"
2071422,Frozen chicken claw,527990485,Kilogram,0,?,"1,361,225,464"
2071429,"Frozen offal of chicken, nes",94236357,Kilogram,0,?,"165,077,295"
2072500,Frozen whole turkeys,121764,Kilogram,0,?,"366,641"
2072700,Frozen cuts&offal of turkeys,25998141,Kilogram,0,?,"49,623,414"
2074500,Frozen cuts&offal of ducks,614109,Kilogram,0,?,"3,563,482"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",1107685,Kilogram,0,?,"6,866,068"
2091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",88659340,Kilogram,0,?,"140,348,796"
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",212141,Kilogram,0,?,"6,390,618"
2101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",32295,Kilogram,0,?,"409,436"
2101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",1286,Kilogram,0,?,"5,095"
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",631590,Kilogram,0,?,"14,552,245"
3011100,Live ornamental freshwater fish,209004,Kilogram,0,?,"19,180,708"
3011900,Other live ornamental fish,47105,Kilogram,0,?,"4,403,199"
3019210,Live eels fry,19884,Kilogram,0,?,"25,736,692"
3019290,"Live eels, excl. fry",194996,Kilogram,0,?,"1,495,796"
3019390,"Live Carp, excl. fry",352,Kilogram,0,?,"8,815"
3019911,Live perch fry,7920,Kilogram,0,?,"692,841"
3019919,Other live fry,32136,Kilogram,0,?,"510,311"
3019999,"Live fish nes, excl. Fry",15831580,Kilogram,0,?,"83,595,825"
3021100,Fresh or chilled trout,90259,Kilogram,0,?,"647,300"
3021300,Fresh or chilled Pacific salmon,239200,Kilogram,0,?,"3,056,045"
3021410,Fresh or chilled Atlantic salmon,40619927,Kilogram,0,?,"326,212,948"
3021900,Other fresh or chilled salmonidae,200,Kilogram,0,?,"1,798"
3022100,Fresh or chilled halibut,212,Kilogram,0,?,"2,726"
3022200,Fresh or chilled plaice,8024,Kilogram,0,?,"18,967"
3022300,Fresh or chilled sole,402,Kilogram,0,?,"18,154"
3022900,Other fresh or chilled flat fish,661152,Kilogram,0,?,"1,322,851"
3023200,Fresh or chilled yellowfin tunas,117052,Kilogram,0,?,"709,087"
3023300,Fresh or chilled skipjack or stripe-bellied bonito,2670,Kilogram,0,?,"80,733"
3023510,Fresh or chilled Atlantic bluefin tunas,9066,Kilogram,0,?,"230,366"
3023520,Fresh or chilled Pacific bluefin tunas,290689,Kilogram,0,?,"9,766,364"
3023600,Fresh or chilled bluefin tunas,46181,Kilogram,0,?,"628,628"
3023900,"Fresh or chilled tunas, nes",8308,Kilogram,0,?,"233,337"
3024100,Fresh or chilled herrings,75824,Kilogram,0,?,"49,708"
3024300,"Fresh or chilled sardines,sadinella, brisling or sprats",981,Kilogram,0,?,"1,188"
3024400,Fresh or chilled mackerel,19696,Kilogram,0,?,"259,362"
3024500,Fresh or chilled jack and horse mackerel,45309,Kilogram,0,?,"846,741"
3024900,"Fresh or chilled indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish",930214,Kilogram,0,?,"9,733,928"
3025100,Fresh or chilled cod,661,Kilogram,0,?,"13,282"
3025300,Fresh or chilled coalsish,521,Kilogram,0,?,"14,201"
