Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",840209,Kilogram,4805,Number of item,"3,488,241"
40118011,"New rubber pneumatic tyres with herring-bone""",898263,Kilogram,19135,Number of item,"3,550,133"
40118012,"New rubber pneumatic tyres with herring-bone""",1879497,Kilogram,8873,Number of item,"10,616,437"
1012900,"Live horses, not pure-bred breeding",397620,Kilogram,1104,Number of item,"22,984,741"
1022100,Live pure-bred breeding cattles,32994356,Kilogram,119382,Number of item,"308,076,107"
1022900,"Live cattles, not pure-bred breeding",66830678,Kilogram,230319,Number of item,"496,268,641"
1031000,Live pure-bred breeding swine,338894,Kilogram,5280,Number of item,"15,396,463"
1039110,"Live swine wt.£¼10kg, not pure-bred breeding",210,Kilogram,30,Number of item,"55,356"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",4540,Kilogram,90,Number of item,"180,000"
1041010,Live pure-bred breeding sheep,3430,Kilogram,130,Number of item,"386,175"
1041090,"Live sheep, not pure-bred breeding",1002010,Kilogram,23161,Number of item,"2,532,539"
1042010,Live pure-bred breeding goats,48810,Kilogram,2154,Number of item,"3,349,160"
1042090,"Live goats, not pure-bred breeding",66825,Kilogram,1485,Number of item,"2,138,400"
1051110,Live chicken¡Ü185g for pure-bred breeding,30087,Kilogram,656311,Number of item,"17,679,900"
1061211,"Whales,dolphins,propoises,manatees&dugongs,for pure-bred breeding",1485,Kilogram,9,Number of item,"4,190,121"
1061221,"Seals,sea lions&walruses, for pure-bred breeding",400,Kilogram,1,Number of item,"729,300"
1061390,"Camels&other camelids, not for pure-bred breeding",35000,Kilogram,1170,Number of item,"2,223,000"
1061910,"Other mammals, for pure-bred breeding",13,Kilogram,224,Number of item,"38,885"
1061990,"Other edible mammals, not pure-bred breeding",17941,Kilogram,26330,Number of item,"9,444,603"
1062019,"Other reptiles, for pure-bred breeding",27704,Kilogram,15751,Number of item,"101,579"
1062020,Edible reptiles,800,Kilogram,540,Number of item,"1,949"
1062090,"Reptiles, nes",316,Kilogram,1399,Number of item,"22,631"
1063990,"Birds, nes",2511,Kilogram,5014,Number of item,"7,143,931"
1064910,"Other insects, for pure-bred breeding",0,Kilogram,11160,Number of item,"9,242"
1064990,"Other insects, not for pure-bred breeding",447,Kilogram,329053,Number of item,"116,326"
1069090,"Other live animals, not for pure-bred breeding",4,Kilogram,8087,Number of item,"36,245"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),632159,Kilogram,0,?,"15,004,107"
2013000,Fresh or chilled boneless bovine meat,51488879,Kilogram,0,?,"658,751,356"
2021000,Frozen bovine carcasses&half carcasses,1304068,Kilogram,0,?,"3,631,037"
2022000,Frozen unboned bovine meat (excl. carcasses),432523431,Kilogram,0,?,"1,486,804,432"
2023000,Frozen boneless bovine meat,2203425499,Kilogram,0,?,"15,592,511,435"
2031900,Other fresh or chilled swine meat,4689,Kilogram,0,?,"47,819"
2032110,Frozen carcasses&half carcasses of sucking pig,638,Kilogram,0,?,"14,056"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",480062867,Kilogram,0,?,"973,897,184"
2032900,Other frozen swine meat,1262735322,Kilogram,0,?,"2,864,904,587"
2042200,Fresh or chilled unboned meat of sheep,157167,Kilogram,0,?,"4,641,866"
2042300,Fresh or chilled boneless meat of sheep,132976,Kilogram,0,?,"2,081,090"
2043000,Frozen lamb carcasses&half carcasses,8723668,Kilogram,0,?,"51,396,624"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),31183951,Kilogram,0,?,"180,893,841"
2044200,Frozen unboned meat of sheep,293126730,Kilogram,0,?,"1,714,448,592"
2044300,Frozen boneless meat of sheep,24261215,Kilogram,0,?,"120,819,242"
2045000,"Fresh, chilled or frozen goat meat",292469,Kilogram,0,?,"1,762,290"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",4048513,Kilogram,0,?,"8,208,952"
2061000,Fresh or chilled edible bovine offal,1291,Kilogram,0,?,"24,650"
2062100,Frozen bovine tongues,1049176,Kilogram,0,?,"15,374,884"
2062200,Frozen bovine livers,320146,Kilogram,0,?,"387,851"
2062900,Frozen edible bovine offal (excl. tongues&livers),40549243,Kilogram,0,?,"227,992,989"
2064100,Frozen swine livers,458474,Kilogram,0,?,"311,567"
2064900,Frozen edible swine offal (excl. livers),1037808019,Kilogram,0,?,"2,690,860,004"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",3342968,Kilogram,0,?,"19,485,692"
2071200,Frozen whole chickens,6514631,Kilogram,0,?,"10,693,198"
2071411,"Frozen chicken cuts, with bone",230706042,Kilogram,0,?,"257,443,992"
2071419,"Frozen chicken cuts, nes",703519,Kilogram,0,?,"1,549,569"
2071421,Frozen midjoint wing of chicken,327550267,Kilogram,0,?,"1,085,295,568"
2071422,Frozen chicken claw,664982310,Kilogram,0,?,"2,631,154,756"
2071429,"Frozen offal of chicken, nes",67649237,Kilogram,0,?,"121,351,383"
2072700,Frozen cuts&offal of turkeys,18198615,Kilogram,0,?,"57,925,498"
2074500,Frozen cuts&offal of ducks,25165,Kilogram,0,?,"59,137"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",2459583,Kilogram,0,?,"17,966,963"
2091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",12707660,Kilogram,0,?,"16,505,074"
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",1102570,Kilogram,0,?,"19,915,458"
2101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",137475,Kilogram,0,?,"1,978,938"
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",1055998,Kilogram,0,?,"20,992,995"
2109300,"Meat/edible offal of reptiles, saltd/brn/drd/smkd;flours&meals",500,Kilogram,0,?,"31,500"
3011100,Live ornamental freshwater fish,225833,Kilogram,0,?,"16,637,891"
3011900,Other live ornamental fish,80151,Kilogram,0,?,"6,837,794"
3019210,Live eels fry,38843,Kilogram,0,?,"162,955,241"
3019290,"Live eels, excl. fry",260978,Kilogram,0,?,"2,172,516"
3019911,Live perch fry,162,Kilogram,0,?,"13,490"
3019999,"Live fish nes, excl. Fry",28356946,Kilogram,0,?,"141,579,442"
3021100,Fresh or chilled trout,113510,Kilogram,0,?,"1,792,691"
3021300,Fresh or chilled Pacific salmon,473483,Kilogram,0,?,"8,621,738"
3021410,Fresh or chilled Atlantic salmon,49012611,Kilogram,0,?,"736,627,117"
3022200,Fresh or chilled plaice,2297,Kilogram,0,?,"34,482"
3022300,Fresh or chilled sole,3,Kilogram,0,?,329
3022900,Other fresh or chilled flat fish,619257,Kilogram,0,?,"1,628,123"
3023200,Fresh or chilled yellowfin tunas,1385,Kilogram,0,?,"13,090"
3023300,Fresh or chilled Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis),2632,Kilogram,0,?,"72,510"
3023510,Fresh or chilled Atlantic bluefin tunas,11708,Kilogram,0,?,"379,812"
3023520,Fresh or chilled Pacific bluefin tunas,916325,Kilogram,0,?,"24,974,481"
3023600,Fresh or chilled bluefin tunas,2102,Kilogram,0,?,"35,298"
3023900,"Fresh or chilled tunas, nes",111224,Kilogram,0,?,"3,255,340"
3024100,Fresh or chilled herrings,42521,Kilogram,0,?,"30,535"
3024400,Fresh or chilled mackerel,26723,Kilogram,0,?,"400,550"
3024500,Fresh or chilled jack and horse mackerel,9319,Kilogram,0,?,"148,236"
3024910,Fresh or chilled siver pomfrets (Pampus spp.),562996,Kilogram,0,?,"9,648,909"
3024990,"Fresh or chilled indian mackerels, seerfishes, jacks, crevalles,Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish",60435,Kilogram,0,?,"329,563"
3025100,Fresh or chilled cod,4173,Kilogram,0,?,"50,044"
