Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",824666,Kilogram,5604,Number of item,"3,195,130"
40118011,"New rubber pneumatic tyres with herring-bone""",663170,Kilogram,15094,Number of item,"2,890,159"
40118012,"New rubber pneumatic tyres with herring-bone""",1767652,Kilogram,12771,Number of item,"7,645,013"
1012100,Live pure-bred breeding horses,42747,Kilogram,131,Number of item,"231,717"
1012900,"Live horses, not pure-bred breeding",471792,Kilogram,1718,Number of item,"18,665,502"
1013090,"Live asses, not pure-bred breeding",934540,Kilogram,7798,Number of item,"753,760"
1022100,Live pure-bred breeding cattles,19122228,Kilogram,64697,Number of item,"115,976,970"
1022900,"Live cattles, not pure-bred breeding",46035667,Kilogram,134556,Number of item,"219,034,617"
1031000,Live pure-bred breeding swine,50900,Kilogram,1018,Number of item,"3,018,035"
1041010,Live pure-bred breeding sheep,29761,Kilogram,496,Number of item,"894,460"
1041090,"Live sheep, not pure-bred breeding",42053,Kilogram,908,Number of item,"852,520"
1042010,Live pure-bred breeding goats,194324,Kilogram,6240,Number of item,"8,723,650"
1042090,"Live goats, not pure-bred breeding",77193,Kilogram,1822,Number of item,"2,112,643"
1051110,Live chicken¡Ü185g for pure-bred breeding,83914,Kilogram,1801684,Number of item,"39,359,265"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",23,Kilogram,500,Number of item,502
1059991,"Live ducks>185g, not pure-bred breeding",200,Kilogram,220,Number of item,"19,918"
1061110,"Primates, for pure-bred breeding",11372,Kilogram,3739,Number of item,"14,880,907"
1061190,"Primates, not pure-bred breeding",13292,Kilogram,6100,Number of item,"3,143,002"
1061211,"Whales,dolphins,propoises,manatees&dugongs,for pure-bred breeding",30111,Kilogram,142,Number of item,"11,509,685"
1061219,"Whales,dolphins,propoises,manatees&dugongs,not for pure-bred breeding",3791,Kilogram,12,Number of item,"1,049,224"
1061221,"Seals,sea lions&walruses, for pure-bred breeding",5322,Kilogram,125,Number of item,"2,854,465"
1061229,"Seals,sea lions&walruses, not for pure-bred breeding",4782,Kilogram,95,Number of item,"1,818,947"
1061310,"Camels&other camelids, for pure-bred breeding",1100,Kilogram,22,Number of item,"79,200"
1061390,"Camels&other camelids, not for pure-bred breeding",3005,Kilogram,100,Number of item,"185,555"
1061410,"Rabbits&hares, for pure-bred breeding",1926,Kilogram,689,Number of item,"205,514"
1061490,"Rabbits&hares, not for pure-bred breeding",80,Kilogram,40,Number of item,"31,809"
1061910,"Other mammals, for pure-bred breeding",81736,Kilogram,1832,Number of item,"14,061,806"
1061990,"Other edible mammals, not pure-bred breeding",29675,Kilogram,26265,Number of item,"7,635,963"
1062011,"Crocodiles for cultivation, for pure-bred breeding",24500,Kilogram,2000,Number of item,"110,000"
1062019,"Other reptiles, for pure-bred breeding",20903,Kilogram,720544,Number of item,"229,159"
1062020,Edible reptiles,1400437,Kilogram,375003,Number of item,"5,626,358"
1062090,"Reptiles, nes",359666,Kilogram,611873,Number of item,"3,212,696"
1063190,"Other birds of prey, not pure-bred breeding",30,Kilogram,32,Number of item,"35,196"
1063210,"Psittaciformes, for pure-bred breeding",1116,Kilogram,1112,Number of item,"394,888"
1063290,"Other psittaciformes, not pure-bred breeding",1838,Kilogram,1746,Number of item,"536,873"
1063310,"Ostriches&emus, for pure-bred breeding",650,Kilogram,100,Number of item,"50,150"
1063910,"Other birds, for pure-bred breeding",10339,Kilogram,7643,Number of item,"9,884,516"
1063990,"Birds, nes",16239,Kilogram,31019,Number of item,"10,180,400"
1064190,"Bees, not for pure-bred breeding",7208,Kilogram,639422,Number of item,"264,973"
1064910,"Other insects, for pure-bred breeding",5,Kilogram,8640,Number of item,754
1064990,"Other insects, not for pure-bred breeding",111,Kilogram,104655,Number of item,"41,482"
1069011,"Tadpole and young frogs, for pure-bred breeding",32,Kilogram,4519,Number of item,"3,535"
1069090,"Other live animals, not for pure-bred breeding",177,Kilogram,6432,Number of item,"26,103"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),1301258,Kilogram,0,?,"13,536,633"
2013000,Fresh or chilled boneless bovine meat,36552111,Kilogram,0,?,"283,032,866"
2021000,Frozen bovine carcasses&half carcasses,2694687,Kilogram,0,?,"9,149,462"
2022000,Frozen unboned bovine meat (excl. carcasses),256906458,Kilogram,0,?,"726,602,396"
2023000,Frozen boneless bovine meat,1361966922,Kilogram,0,?,"7,192,463,414"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",27,Kilogram,0,?,379
2031900,Other fresh or chilled swine meat,4597,Kilogram,0,?,"39,153"
2032110,Frozen carcasses&half carcasses of sucking pig,19734,Kilogram,0,?,"79,858"
2032190,"Frozen swine carcasses&half carcasses, nes",1058038,Kilogram,0,?,"2,354,284"
