Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",1109842,Kilogram,7096,Number of item,"3,766,873"
40118011,"New rubber pneumatic tyres with herring-bone""",517730,Kilogram,12093,Number of item,"2,395,966"
40118012,"New rubber pneumatic tyres with herring-bone""",1918350,Kilogram,7812,Number of item,"10,757,771"
1012100,Live pure-bred breeding horses,14400,Kilogram,34,Number of item,"702,916"
1012900,"Live horses, not pure-bred breeding",603075,Kilogram,2016,Number of item,"22,470,953"
1013090,"Live asses, not pure-bred breeding",2758940,Kilogram,23966,Number of item,"2,156,940"
1022100,Live pure-bred breeding cattles,11685535,Kilogram,39947,Number of item,"72,341,896"
1022900,"Live cattles, not pure-bred breeding",42259503,Kilogram,115977,Number of item,"194,945,623"
1029010,Other live pure-bred breeding bovine animals,268985,Kilogram,1004,Number of item,"1,605,760"
1031000,Live pure-bred breeding swine,446575,Kilogram,7686,Number of item,"13,018,585"
1041010,Live pure-bred breeding sheep,70071,Kilogram,1529,Number of item,"1,670,319"
1041090,"Live sheep, not pure-bred breeding",4100,Kilogram,50,Number of item,"138,856"
1042010,Live pure-bred breeding goats,92797,Kilogram,2840,Number of item,"4,171,360"
1051110,Live chicken¡Ü185g for pure-bred breeding,58658,Kilogram,1329280,Number of item,"28,613,369"
1061110,"Primates, for pure-bred breeding",2708,Kilogram,1123,Number of item,"2,415,313"
1061190,"Primates, not pure-bred breeding",2918,Kilogram,1220,Number of item,"596,967"
1061211,"Whales,dolphins,propoises,manatees&dugongs,for pure-bred breeding",29733,Kilogram,92,Number of item,"9,932,273"
1061219,"Whales,dolphins,propoises,manatees&dugongs,not for pure-bred breeding",1080,Kilogram,4,Number of item,"287,142"
1061221,"Seals,sea lions&walruses, for pure-bred breeding",10829,Kilogram,292,Number of item,"3,263,389"
1061229,"Seals,sea lions&walruses, not for pure-bred breeding",8630,Kilogram,260,Number of item,"2,863,635"
1061310,"Camels&other camelids, for pure-bred breeding",38817,Kilogram,681,Number of item,"1,196,067"
1061390,"Camels&other camelids, not for pure-bred breeding",4000,Kilogram,89,Number of item,"156,097"
1061410,"Rabbits&hares, for pure-bred breeding",1719,Kilogram,609,Number of item,"367,294"
1061910,"Other mammals, for pure-bred breeding",256645,Kilogram,22238,Number of item,"16,971,224"
1061990,"Other edible mammals, not pure-bred breeding",53041,Kilogram,29376,Number of item,"9,725,080"
1062019,"Other reptiles, for pure-bred breeding",9826,Kilogram,432271,Number of item,"602,419"
1062020,Edible reptiles,915947,Kilogram,251472,Number of item,"3,293,710"
1062090,"Reptiles, nes",185533,Kilogram,2046230,Number of item,"3,425,317"
1063110,"Birds of prey, for pure-bred breeding",8,Kilogram,4,Number of item,"16,371"
1063210,"Psittaciformes, for pure-bred breeding",1740,Kilogram,2659,Number of item,"620,148"
1063290,"Other psittaciformes, not pure-bred breeding",2936,Kilogram,4672,Number of item,"660,733"
1063910,"Other birds, for pure-bred breeding",1861,Kilogram,666,Number of item,"5,398,835"
1063990,"Birds, nes",14267,Kilogram,29892,Number of item,"7,326,816"
1064190,"Bees, not for pure-bred breeding",14566,Kilogram,1125162,Number of item,"377,097"
1064910,"Other insects, for pure-bred breeding",6,Kilogram,10840,Number of item,"1,272"
1064990,"Other insects, not for pure-bred breeding",134,Kilogram,106278,Number of item,"52,294"
1069090,"Other live animals, not for pure-bred breeding",199412,Kilogram,512102,Number of item,"323,713"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),574040,Kilogram,0,?,"6,126,247"
2013000,Fresh or chilled boneless bovine meat,15415466,Kilogram,0,?,"130,434,556"
2021000,Frozen bovine carcasses&half carcasses,482,Kilogram,0,?,"1,350"
2022000,Frozen unboned bovine meat (excl. carcasses),164242563,Kilogram,0,?,"422,664,609"
2023000,Frozen boneless bovine meat,859161023,Kilogram,0,?,"4,239,722,713"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",8441,Kilogram,0,?,"29,068"
2031900,Other fresh or chilled swine meat,13786,Kilogram,0,?,"49,662"
2032110,Frozen carcasses&half carcasses of sucking pig,32,Kilogram,0,?,469
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",348425687,Kilogram,0,?,"562,475,539"
2032900,Other frozen swine meat,844380213,Kilogram,0,?,"1,511,430,967"
2041000,Fresh or chilled lamb carcasses&half carcasses,508,Kilogram,0,?,"3,780"
2042100,Fresh or chilled sheep carcasses&half carcasses (excl. lamb),237428,Kilogram,0,?,"1,115,192"
2042200,Fresh or chilled unboned meat of sheep,433838,Kilogram,0,?,"2,783,181"
2042300,Fresh or chilled boneless meat of sheep,25329,Kilogram,0,?,"293,380"
2043000,Frozen lamb carcasses&half carcasses,549367,Kilogram,0,?,"2,872,341"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),18149839,Kilogram,0,?,"79,119,826"
2044200,Frozen unboned meat of sheep,281275847,Kilogram,0,?,"1,161,243,121"
2044300,Frozen boneless meat of sheep,18122086,Kilogram,0,?,"60,075,144"
2045000,"Fresh, chilled or frozen goat meat",263954,Kilogram,0,?,"1,560,686"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",29440936,Kilogram,0,?,"57,007,550"
2062100,Frozen bovine tongues,1040877,Kilogram,0,?,"5,187,062"
2062200,Frozen bovine livers,161800,Kilogram,0,?,"203,930"
2062900,Frozen edible bovine offal (excl. tongues&livers),22239517,Kilogram,0,?,"83,594,712"
2064100,Frozen swine livers,465070,Kilogram,0,?,"217,721"
2064900,Frozen edible swine offal (excl. livers),946264661,Kilogram,0,?,"1,516,954,774"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",4820438,Kilogram,0,?,"16,254,914"
2071200,Frozen whole chickens,1327271,Kilogram,0,?,"1,604,333"
2071411,"Frozen chicken cuts, with bone",69759003,Kilogram,0,?,"83,235,564"
2071419,"Frozen chicken cuts, nes",9401741,Kilogram,0,?,"15,767,047"
2071421,Frozen midjoint wing of chicken,215925107,Kilogram,0,?,"605,917,468"
2071422,Frozen chicken claw,160671802,Kilogram,0,?,"372,130,674"
2071429,"Frozen offal of chicken, nes",45135916,Kilogram,0,?,"56,643,486"
2072500,Frozen whole turkeys,277625,Kilogram,0,?,"1,060,168"
2072700,Frozen cuts&offal of turkeys,1427761,Kilogram,0,?,"3,896,421"
2074500,Frozen cuts&offal of ducks,28,Kilogram,0,?,423
2089090,"Fresh, chilled or frozen meat&edible offal, nes",397124,Kilogram,0,?,"2,339,010"
2091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",11374208,Kilogram,0,?,"8,194,396"
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",621,Kilogram,0,?,"11,210"
2101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",1406,Kilogram,0,?,"9,294"
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",295631,Kilogram,0,?,"5,854,820"
