"Date of data","Commodity code","Commodity","Quantity","Unit","Supplimentary Quantity","Supplimentary Unit","US dollar",
"201801","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","7340","Number of item","0","Kilogram","7,113,841",
"201802","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","8034","Number of item","0","Kilogram","8,465,139",
"201803","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","2951","Number of item","0","Kilogram","4,143,266",
"201804","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","9325","Number of item","0","Kilogram","8,409,928",
"201805","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","1006","Number of item","0","Kilogram","2,398,517",
"201806","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","9867","Number of item","0","Kilogram","10,285,287",
"201807","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","10425","Number of item","0","Kilogram","13,900,665",
"201808","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","20686","Number of item","0","Kilogram","16,397,900",
"201809","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","20853","Number of item","0","Kilogram","17,273,564",
"201810","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","20227","Number of item","0","Kilogram","15,439,948",
"201811","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","16092","Number of item","0","Kilogram","13,921,627",
"201812","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","14938","Number of item","0","Kilogram","12,016,072",
