Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",45308814,Kilogram,1043126,Number of item,"117,843,786"
40118011,"New rubber pneumatic tyres with herring-bone""",10806608,Kilogram,368880,Number of item,"27,339,375"
40118012,"New rubber pneumatic tyres with herring-bone""",25638475,Kilogram,101677,Number of item,"68,337,603"
1012900,"Live horses, not pure-bred breeding",7200,Kilogram,21,Number of item,"116,976"
1029090,"Other live bovine animals, not pure-bred breeding",10616707,Kilogram,17003,Number of item,"56,192,228"
1039120,"Live swine 10kg¡Üwt.£¼50kg, not pure-bred breeding",219224,Kilogram,4602,Number of item,"1,044,944"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",105938674,Kilogram,942023,Number of item,"395,364,320"
1042090,"Live goats, not pure-bred breeding",91720,Kilogram,3694,Number of item,"623,178"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",129324,Kilogram,2760120,Number of item,"1,340,247"
1061190,"Primates, not pure-bred breeding",60582,Kilogram,18993,Number of item,"39,177,971"
1061490,"Rabbits&hares, not for pure-bred breeding",20477,Kilogram,8606,Number of item,"725,722"
1061910,"Other mammals, for pure-bred breeding",2465,Kilogram,222,Number of item,"434,913"
1061990,"Other edible mammals, not pure-bred breeding",43326,Kilogram,39351,Number of item,"3,391,792"
1062019,"Other reptiles, for pure-bred breeding",2916,Kilogram,31800,Number of item,"35,699"
1062020,Edible reptiles,876260,Kilogram,626114,Number of item,"8,878,814"
1062090,"Reptiles, nes",27691,Kilogram,2145529,Number of item,"1,286,742"
1063910,"Other birds, for pure-bred breeding",660,Kilogram,1271,Number of item,"15,470"
1064990,"Other insects, not for pure-bred breeding",31177,Kilogram,27607450,Number of item,"112,957"
1069011,"Tadpole and young frogs, for pure-bred breeding",3,Kilogram,100,Number of item,50
1069019,"Other live animals, for pure-bred breeding",120,Kilogram,6,Number of item,847
1069090,"Other live animals, not for pure-bred breeding",426139,Kilogram,289019859,Number of item,"1,275,225"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),11424,Kilogram,0,?,"97,996"
2022000,Frozen unboned bovine meat (excl. carcasses),47,Kilogram,0,?,685
2023000,Frozen boneless bovine meat,206569,Kilogram,0,?,"1,544,988"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",3291445,Kilogram,0,?,"19,670,576"
2031900,Other fresh or chilled swine meat,4588165,Kilogram,0,?,"25,436,579"
2032110,Frozen carcasses&half carcasses of sucking pig,5250,Kilogram,0,?,"12,743"
2032190,"Frozen swine carcasses&half carcasses, nes",522250,Kilogram,0,?,"2,402,974"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",107230,Kilogram,0,?,"190,244"
2032900,Other frozen swine meat,18115484,Kilogram,0,?,"93,679,104"
2042200,Fresh or chilled unboned meat of sheep,165,Kilogram,0,?,"4,390"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),5262,Kilogram,0,?,"49,494"
2044200,Frozen unboned meat of sheep,551037,Kilogram,0,?,"6,140,501"
2044300,Frozen boneless meat of sheep,453907,Kilogram,0,?,"4,633,423"
