"Date of data","Commodity code","Commodity","Quantity","Unit","Supplimentary Quantity","Supplimentary Unit","US dollar",
"202201","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","77669","Number of item","108391507","Kilogram","1,679,590,041",
"202202","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","66882","Number of item","101832533","Kilogram","1,612,423,290",
"202203","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","37317","Number of item","36427799","Kilogram","541,470,714",
"202204","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","25848","Number of item","23293406","Kilogram","324,934,540",
"202205","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","68436","Number of item","80570385","Kilogram","1,210,058,217",
"202206","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","54510","Number of item","41853025","Kilogram","580,362,069",
"202207","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","74376","Number of item","84151480","Kilogram","1,411,177,666",
"202208","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","101117","Number of item","138156093","Kilogram","2,629,837,858",
"202209","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","89826","Number of item","117261748","Kilogram","1,853,592,487",
"202210","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","123764","Number of item","187199408","Kilogram","3,180,788,219",
"202211","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","126460","Number of item","192042516","Kilogram","3,249,067,795",
"202212","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","98361","Number of item","128123181","Kilogram","1,815,573,857",
