Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",861227,Kilogram,4633,Number of item,"3,299,304"
40118011,"New rubber pneumatic tyres with herring-bone""",1268499,Kilogram,25162,Number of item,"5,341,892"
40118012,"New rubber pneumatic tyres with herring-bone""",2818849,Kilogram,22764,Number of item,"13,012,847"
1012100,Live pure-bred breeding horses,18000,Kilogram,39,Number of item,"428,700"
1012900,"Live horses, not pure-bred breeding",271265,Kilogram,876,Number of item,"22,305,611"
1022100,Live pure-bred breeding cattles,20761334,Kilogram,73400,Number of item,"196,932,550"
1022900,"Live cattles, not pure-bred breeding",86054815,Kilogram,287672,Number of item,"601,410,749"
1023900,"Live buffaloes, not pure-bred breeding",8100,Kilogram,21,Number of item,"31,312"
1031000,Live pure-bred breeding swine,1509404,Kilogram,23339,Number of item,"54,514,904"
1041010,Live pure-bred breeding sheep,166683,Kilogram,3186,Number of item,"4,434,474"
1041090,"Live sheep, not pure-bred breeding",4950,Kilogram,90,Number of item,"90,000"
1042010,Live pure-bred breeding goats,79361,Kilogram,2669,Number of item,"3,565,452"
1042090,"Live goats, not pure-bred breeding",20460,Kilogram,378,Number of item,"380,035"
1051110,Live chicken¡Ü185g for pure-bred breeding,76010,Kilogram,1631727,Number of item,"40,592,642"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",212,Kilogram,5300,Number of item,"28,115"
1061310,"Camels&other camelids, for pure-bred breeding",25300,Kilogram,506,Number of item,"1,315,300"
1061390,"Camels&other camelids, not for pure-bred breeding",85090,Kilogram,2635,Number of item,"4,389,800"
1061990,"Other edible mammals, not pure-bred breeding",9158,Kilogram,25307,Number of item,"7,027,315"
1062020,Edible reptiles,65994,Kilogram,41447,Number of item,"173,729"
1063990,"Birds, nes",911,Kilogram,1714,Number of item,"4,629,630"
1064190,"Bees, not for pure-bred breeding",43,Kilogram,3250,Number of item,"6,293"
