"Date of data","Commodity code","Commodity","Quantity","Unit","Supplimentary Quantity","Supplimentary Unit","US dollar",
"202301","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","117346","Number of item","171594012","Kilogram","2,934,661,404",
"202302","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","112882","Number of item","171705760","Kilogram","2,965,593,619",
