"Date of data","Commodity code","Commodity","Quantity","Unit","Supplimentary Quantity","Supplimentary Unit","US dollar",
"202101","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","23446","Number of item","18461241","Kilogram","248,510,850",
"202102","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","24012","Number of item","28588489","Kilogram","455,624,017",
"202103","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","20318","Number of item","17273934","Kilogram","258,805,486",
"202104","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","37053","Number of item","44121153","Kilogram","694,643,586",
"202105","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","27763","Number of item","34410068","Kilogram","545,187,744",
"202106","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","19794","Number of item","23740573","Kilogram","383,535,507",
"202107","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","45268","Number of item","57843685","Kilogram","898,467,708",
"202108","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","68783","Number of item","88160149","Kilogram","1,416,564,950",
"202109","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","44216","Number of item","38928075","Kilogram","596,500,294",
"202110","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","74395","Number of item","93080350","Kilogram","1,417,826,112",
"202111","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","71342","Number of item","79725980","Kilogram","1,226,755,691",
"202112","87038000","Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion","43154","Number of item","32508010","Kilogram","453,243,737",
