Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
68114020,"Sheets,panels & tiles etc,containing asbestos",3669228,Kilogram,0,?,"3,739,577"
68114030,"Tubes,pipes & fittings,containing asbestos",97248,Kilogram,0,?,"247,272"
68114090,"Other Articles,nes,containing asbestos",2712405,Kilogram,0,?,"4,008,021"
68118100,"Corrugated sheets,of cellulose fibre-cement etc.,without asbestos",111600,Kilogram,0,?,"14,454"
68118200,"Sheets,panels & tiles etc., of cellulose fibre-cement etc.,without asbestos",219973178,Kilogram,0,?,"105,323,782"
68118910,"Tubes/pipes and fittings thereof, of cellulose fibre-cement or the like, without asbestos",4253,Kilogram,0,?,"1,409"
68118990,"Articles nes, of cellulose fibre-cement, without asbestos",8410979,Kilogram,0,?,"20,830,394"
68128000,"Fabricated asbestos fibres; mixtures and articles of asbestos,of crocidolite",196684,Kilogram,0,?,"570,465"
68129100,"Clothing, clothing accessories, footwear & headgear,of asbestos",55182,Kilogram,0,?,"924,399"
68129200,"Paper, millboard & felt,of asbestos",298772,Kilogram,0,?,"1,041,769"
68129300,"Compressed asbestos fibre jointing, in sheets or rolls",4090866,Kilogram,0,?,"5,595,277"
68129900,"Asbestos fabricated products,nes",7548531,Kilogram,0,?,"20,489,073"
68132010,"Brake linings & pads, containing asbestos",468489,Kilogram,0,?,"1,136,530"
68132090,"Friction material & article thereof,unmounted, containing asbestos",2278955,Kilogram,0,?,"7,149,092"
68138100,"Brake linings & pads, without asbestos",6543398,Kilogram,0,?,"14,056,726"
68138900,"Friction material & article thereof,unmounted, without asbestos",9423562,Kilogram,0,?,"38,848,228"
68141000,"Mica plate/sheet/strip,agglomerated/reconstituted on support or not",12513426,Kilogram,0,?,"56,686,480"
68149000,Worked mica & articles of mica nes,1093525,Kilogram,0,?,"6,431,547"
68151000,Non-electrical articles of graphite or other carbon,4050073,Kilogram,0,?,"47,700,565"
68152000,Articles of peat,743524,Kilogram,0,?,"1,787,876"
68159100,"Articles containing magnesite, dolomite or chromite",351145767,Kilogram,0,?,"290,441,164"
68159920,Carbon fibres,346243,Kilogram,0,?,"10,835,090"
68159931,Carbon cloth,780705,Kilogram,0,?,"21,655,218"
68159932,Pre-preg material of carbon fibres,402070,Kilogram,0,?,"23,728,727"
68159939,Other articles of carbon fibres,2515918,Kilogram,0,?,"69,317,611"
68159940,Basalt fiber and articles thereof,5515723,Kilogram,0,?,"7,224,022"
68159990,Articles of stone or of other mineral substances nes,119077812,Kilogram,0,?,"211,538,584"
69010000,Bricks/blocks etc & ceramic goods of siliceous earths,68344093,Kilogram,0,?,"48,058,304"
69021000,"Refractory bricks etc¡µ50% Mg, Ca or Cr expressed as MgO/CaO/Cr2O3",810757669,Kilogram,0,?,"670,856,861"
69022000,"Refractory bricks etc¡µ50% alumina Al2O3, silica SiO2 or mixture etc",491838743,Kilogram,0,?,"453,906,879"
69029000,Refractory bricks etc nes,99182066,Kilogram,0,?,"118,310,340"
69031000,"Refractory ceramic goods nes,¡µ50% graphite/oth forms of carbon etc",1567825,Kilogram,0,?,"9,610,748"
69032000,"Refractory ceramic goods nes,>50%  Al2O3 or mix/compds of SiO2",48134869,Kilogram,0,?,"132,640,318"
69039000,Refractory ceramic goods nes,27028991,Kilogram,0,?,"126,506,397"
69041000,Building bricks,156545435,Kilogram,1144502,In Thousands,"54,340,990"
69049000,"Ceramic flooring blocks, support or filler tiles & the like",437321247,Kilogram,0,?,"825,627,004"
69051000,"Roofing tiles, ceramic",126154780,Kilogram,0,?,"51,257,349"
69059000,"Chimney-pots, cowls, chimney liners etc&oth ceramic constructnl goods",8644821,Kilogram,0,?,"13,541,814"
69060000,"Ceramic pipes, conduits, guttering & pipe fittings",2280654,Kilogram,0,?,"13,163,261"
69072110,"Ceramic flags/paving/hearth or wall tiles, capable of being enclosed in a square side£¼7cm, water absorption by weight¡Ü0.5%, excl. mosaic/finishing ceramic",3337558,Kilogram,246734,Square Metre,"3,959,052"
69072190,"Other ceramic flags/paving/hearth or wall tiles, water absorption by weight¡Ü0.5%, excl. mosaic/finishing ceramic",6064848270,Kilogram,313070734,Square Metre,"1,863,132,100"
69072210,"Ceramic flags/paving/hearth or wall tiles, capable of being enclosed in a square side£¼7cm, 0.5%£¼water absorption by weight¡Ü10%, excl. mosaic/finishing ceramic",7450517,Kilogram,417892,Square Metre,"6,065,090"
69072290,"Other ceramic flags/paving/hearth or wall tiles,0.5%£¼water absorption by weight¡Ü10%, excl. mosaic/finishing ceramic",3103163885,Kilogram,175635207,Square Metre,"1,707,956,034"
69072310,"Ceramic flags/paving/hearth or wall tiles, capable of being enclosed in a square side£¼7cm, water absorption by weigh£¾10%, excl. mosaic/finishing ceramic",596721,Kilogram,35824,Square Metre,"4,959,104"
69072390,"Other ceramic flags/paving/hearth or wall tiles, water absorption by weigh£¾10%, excl. mosaic/finishing ceramic",1742255546,Kilogram,126616181,Square Metre,"452,267,574"
69073010,"Mosaic cubes and the like, capable of being enclosed in a square side£¼7cm, excl.finishing ceramic",2196099,Kilogram,243852,Square Metre,"4,197,413"
69073090,"Other mosaic cubes and the like, excl.finishing ceramic",53403062,Kilogram,4430530,Square Metre,"54,802,438"
69074010,"Finishing ceramics, capable of being enclosed in a square side£¼7cm",298205,Kilogram,24150,Square Metre,"540,550"
69074090,Other finishing ceramics,13819413,Kilogram,1288151,Square Metre,"13,027,972"
69091100,"Ceramic wares laboratory,chemical/oth techncl uses of porcelain/china",35347045,Kilogram,0,?,"72,086,259"
69091200,Ceramic articles of hardness to 9 or more on Mohs scale,171821761,Kilogram,0,?,"292,840,022"
69091900,"Ceramic wares laboratory, chemical/other technical uses nes",93191237,Kilogram,0,?,"261,857,185"
