Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",10216175,Kilogram,207416,Number of item,"29,601,667"
40118011,"New rubber pneumatic tyres with herring-bone""",2025844,Kilogram,53752,Number of item,"5,626,128"
40118012,"New rubber pneumatic tyres with herring-bone""",4622553,Kilogram,20587,Number of item,"13,811,845"
1029090,"Other live bovine animals, not pure-bred breeding",825460,Kilogram,1299,Number of item,"5,308,826"
1039120,"Live swine 10kg¡Üwt.£¼50kg, not pure-bred breeding",9895,Kilogram,200,Number of item,"38,478"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",11224169,Kilogram,93186,Number of item,"43,397,341"
1042090,"Live goats, not pure-bred breeding",3500,Kilogram,110,Number of item,"28,073"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",25988,Kilogram,535800,Number of item,"300,984"
1061490,"Rabbits&hares, not for pure-bred breeding",1894,Kilogram,728,Number of item,"70,364"
1061910,"Other mammals, for pure-bred breeding",2220,Kilogram,222,Number of item,"218,751"
1061990,"Other edible mammals, not pure-bred breeding",12143,Kilogram,13952,Number of item,"3,166,039"
1062020,Edible reptiles,196056,Kilogram,144970,Number of item,"2,178,369"
1062090,"Reptiles, nes",3409,Kilogram,291910,Number of item,"212,174"
1064910,"Other insects, for pure-bred breeding",20,Kilogram,25100,Number of item,502
1064990,"Other insects, not for pure-bred breeding",3689,Kilogram,5754700,Number of item,"34,899"
1069090,"Other live animals, not for pure-bred breeding",85838,Kilogram,575550,Number of item,"258,752"
2023000,Frozen boneless bovine meat,11000,Kilogram,0,?,"118,263"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",533449,Kilogram,0,?,"2,277,435"
2031900,Other fresh or chilled swine meat,498619,Kilogram,0,?,"2,133,319"
2032190,"Frozen swine carcasses&half carcasses, nes",163000,Kilogram,0,?,"565,350"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",28000,Kilogram,0,?,"222,417"
2032900,Other frozen swine meat,2420202,Kilogram,0,?,"15,610,082"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),357,Kilogram,0,?,"3,587"
2044200,Frozen unboned meat of sheep,192822,Kilogram,0,?,"2,147,903"
2044300,Frozen boneless meat of sheep,69937,Kilogram,0,?,"841,795"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",45170,Kilogram,0,?,"827,136"
2062200,Frozen bovine livers,25000,Kilogram,0,?,"38,463"
2062900,Frozen edible bovine offal (excl. tongues&livers),20999,Kilogram,0,?,"27,007"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",53796,Kilogram,0,?,"177,303"
2071100,Fresh or chilled whole chickens,9776731,Kilogram,0,?,"36,691,001"
2071200,Frozen whole chickens,520762,Kilogram,0,?,"1,628,650"
2071311,"Fresh or chilled cuts of chicken, with bone",207199,Kilogram,0,?,"842,424"
2071319,Fresh or chilled boneless cuts of chicken,15294,Kilogram,0,?,"64,487"
2071321,Fresh or chilled midjoint wing of chicken,1267,Kilogram,0,?,"5,319"
2071329,"Fresh or chilled offal of chicken, nes",19286,Kilogram,0,?,"72,080"
2071411,"Frozen chicken cuts, with bone",2589623,Kilogram,0,?,"4,967,007"
2071419,"Frozen chicken cuts, nes",14594842,Kilogram,0,?,"28,417,112"
2071421,Frozen midjoint wing of chicken,243638,Kilogram,0,?,"923,227"
2071429,"Frozen offal of chicken, nes",418480,Kilogram,0,?,"458,116"
2074100,Fresh or chilled whole ducks,2402815,Kilogram,0,?,"6,480,045"
2074200,Frozen whole ducks,2044545,Kilogram,0,?,"3,884,760"
2074300,Fresh or chilled fatty duck livers,2001,Kilogram,0,?,"1,284"
2074400,Fresh or chilled cuts&offal of ducks,34620,Kilogram,0,?,"84,880"
2074500,Frozen cuts&offal of ducks,416409,Kilogram,0,?,"903,493"
2075100,Fresh or chilled whole geese,2254628,Kilogram,0,?,"12,699,053"
2075200,Frozen whole geese,540,Kilogram,0,?,"3,255"
2075400,Fresh or chilled cuts&offal of geese,67308,Kilogram,0,?,"317,466"
2081020,"Frozen meat of rabbits, excl. head",491870,Kilogram,0,?,"2,464,940"
2089010,"Fresh, chilled or frozen meat&edible offal of squabs",528088,Kilogram,0,?,"3,950,574"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",16586,Kilogram,0,?,"163,131"
