Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",70457752,Kilogram,1327679,Number of item,"195,967,953"
40118011,"New rubber pneumatic tyres with herring-bone""",16507711,Kilogram,418442,Number of item,"48,383,142"
40118012,"New rubber pneumatic tyres with herring-bone""",28241044,Kilogram,121352,Number of item,"84,730,858"
1012100,Live pure-bred breeding horses,8000,Kilogram,15,Number of item,"12,000"
1029090,"Other live bovine animals, not pure-bred breeding",8260786,Kilogram,13191,Number of item,"53,176,960"
1039120,"Live swine 10kg¡Üwt.£¼50kg, not pure-bred breeding",50263,Kilogram,1010,Number of item,"184,363"
1039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",125595452,Kilogram,1065414,Number of item,"453,677,569"
1042090,"Live goats, not pure-bred breeding",44600,Kilogram,1309,Number of item,"337,121"
1051190,"Live chicken¡Ü185g, not pure-bred breeding",138568,Kilogram,2816800,Number of item,"1,572,807"
1061490,"Rabbits&hares, not for pure-bred breeding",16137,Kilogram,5926,Number of item,"587,388"
1061910,"Other mammals, for pure-bred breeding",10180,Kilogram,1002,Number of item,"1,190,887"
1061990,"Other edible mammals, not pure-bred breeding",96517,Kilogram,236157,Number of item,"19,005,159"
1062020,Edible reptiles,907082,Kilogram,661840,Number of item,"10,070,711"
1062090,"Reptiles, nes",19117,Kilogram,1904712,Number of item,"1,169,352"
1064910,"Other insects, for pure-bred breeding",205,Kilogram,258040,Number of item,"5,161"
1064990,"Other insects, not for pure-bred breeding",16893,Kilogram,25619780,Number of item,"45,935"
1069011,"Tadpole and young frogs, for pure-bred breeding",23,Kilogram,820,Number of item,740
1069090,"Other live animals, not for pure-bred breeding",620181,Kilogram,3470190,Number of item,"1,323,472"
2022000,Frozen unboned bovine meat (excl. carcasses),370,Kilogram,0,?,"4,619"
2023000,Frozen boneless bovine meat,38237,Kilogram,0,?,"476,305"
2031190,"Fresh or chilled swine carcasses&half carcasses, nes",1500,Kilogram,0,?,"7,934"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",9190076,Kilogram,0,?,"46,166,475"
2031900,Other fresh or chilled swine meat,4829085,Kilogram,0,?,"23,584,097"
2032110,Frozen carcasses&half carcasses of sucking pig,48743,Kilogram,0,?,"248,025"
2032190,"Frozen swine carcasses&half carcasses, nes",999781,Kilogram,0,?,"3,392,851"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",16141,Kilogram,0,?,"41,965"
2032900,Other frozen swine meat,12099883,Kilogram,0,?,"77,060,009"
2042100,Fresh or chilled sheep carcasses&half carcasses (excl. lamb),733,Kilogram,0,?,"8,329"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),2810,Kilogram,0,?,"45,673"
2044200,Frozen unboned meat of sheep,787912,Kilogram,0,?,"9,659,037"
2044300,Frozen boneless meat of sheep,488003,Kilogram,0,?,"5,437,513"
2045000,"Fresh, chilled or frozen goat meat",328106,Kilogram,0,?,"4,177,545"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",235740,Kilogram,0,?,"4,189,745"
2062900,Frozen edible bovine offal (excl. tongues&livers),90200,Kilogram,0,?,"149,996"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",205590,Kilogram,0,?,"842,951"
2071100,Fresh or chilled whole chickens,75677328,Kilogram,0,?,"286,216,045"
2071200,Frozen whole chickens,3206943,Kilogram,0,?,"9,814,847"
2071311,"Fresh or chilled cuts of chicken, with bone",1804917,Kilogram,0,?,"7,397,936"
2071319,Fresh or chilled boneless cuts of chicken,133162,Kilogram,0,?,"562,071"
2071321,Fresh or chilled midjoint wing of chicken,11912,Kilogram,0,?,"49,991"
2071329,"Fresh or chilled offal of chicken, nes",174630,Kilogram,0,?,"627,815"
2071411,"Frozen chicken cuts, with bone",22718640,Kilogram,0,?,"41,934,401"
2071419,"Frozen chicken cuts, nes",115301807,Kilogram,0,?,"234,382,585"
2071421,Frozen midjoint wing of chicken,3597327,Kilogram,0,?,"13,235,969"
2071422,Frozen chicken claw,71505,Kilogram,0,?,"205,445"
2071429,"Frozen offal of chicken, nes",4192695,Kilogram,0,?,"4,066,371"
2074100,Fresh or chilled whole ducks,17649917,Kilogram,0,?,"49,117,733"
2074200,Frozen whole ducks,14206055,Kilogram,0,?,"24,533,125"
